t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
0,9.99,100.0,9.99,92.3,0,0,0
60,9.98,100.0,9.98,92.3,0,0,0
120,9.96,100.0,9.96,92.3,0,0,0
180,9.94,100.0,9.94,92.4,0,0,0
240,9.93,100.0,9.93,92.4,0,0,0
300,9.91,100.0,9.91,92.4,0,0,0
360,9.89,100.0,9.89,92.4,0,0,0
420,9.88,100.0,9.88,92.4,0,0,0
480,9.86,100.0,9.86,92.5,0,0,0
540,9.84,100.0,9.84,92.5,0,0,0
600,9.83,100.0,9.83,92.5,0,0,0
660,9.81,100.0,9.81,92.5,1,1,0
720,9.79,100.0,9.79,92.5,1,1,0
780,9.78,95.5,9.78,92.6,1,1,1
840,9.76,95.5,9.76,92.6,1,1,1
900,9.74,95.6,9.74,92.6,1,1,1
960,9.73,95.6,9.73,92.6,1,1,1
1020,9.71,95.6,9.71,92.6,1,1,1
1080,9.69,95.6,9.69,92.7,1,1,1
1140,9.68,95.7,9.68,92.7,1,1,1
1200,9.66,95.7,9.66,92.7,1,1,1
1260,9.64,95.7,9.64,92.7,1,1,1
1320,9.63,95.7,9.63,92.7,1,1,1
1380,9.61,95.7,9.61,92.8,1,1,1
1440,9.59,95.8,9.59,92.8,1,1,1
1500,9.58,95.8,9.58,92.8,1,1,1
1560,9.56,95.8,9.56,92.8,1,1,1
1620,9.54,95.8,9.54,92.8,1,1,1
1680,9.53,95.9,9.53,92.9,1,1,1
1740,9.51,95.9,9.51,92.9,1,1,1
1800,9.49,95.9,9.49,92.9,1,1,1
1860,9.48,95.9,9.48,92.9,1,1,1
1920,9.47,95.9,9.47,92.9,1,1,1
1980,9.45,95.9,9.45,92.9,1,1,1
2040,9.44,95.9,9.44,92.9,1,1,1
2100,9.43,95.9,9.43,92.9,1,1,1
2160,9.41,95.9,9.41,92.9,1,1,1
2220,9.40,95.9,9.40,92.9,1,1,1
2280,9.39,96.0,9.39,92.9,1,1,1
2340,9.37,96.0,9.37,92.9,1,1,1
2400,9.36,96.0,9.36,92.9,1,1,1
2460,9.35,96.0,9.35,92.9,1,1,1
2520,9.33,96.0,9.33,92.9,1,1,1
2580,9.32,96.0,9.32,92.9,1,1,1
2640,9.31,96.0,9.31,92.9,1,1,1
2700,9.29,96.0,9.29,93.0,1,1,1
2760,9.28,96.0,9.28,93.0,1,1,1
2820,9.27,96.0,9.27,93.0,1,1,1
2880,9.25,96.0,9.25,93.0,1,1,1
2940,9.24,96.0,9.24,93.0,1,1,1
3000,9.23,96.0,9.23,93.0,1,1,1
3060,9.21,96.0,9.21,93.0,1,1,1
3120,9.20,96.0,9.20,93.0,1,1,1
3180,9.19,96.0,9.19,93.0,1,1,1
3240,9.17,96.0,9.17,93.0,1,1,1
3300,9.16,96.1,9.16,93.0,1,1,1
3360,9.15,96.1,9.15,93.0,1,1,1
3420,9.13,96.1,9.13,93.0,1,1,1
3480,9.12,96.1,9.12,93.0,1,1,1
3540,9.11,96.1,9.11,93.0,1,1,1
3600,9.09,96.1,9.09,93.0,1,1,1
3660,9.07,96.1,9.07,93.0,1,1,1
3720,9.05,96.1,9.05,93.0,1,1,1
3780,9.03,96.1,9.03,93.0,1,1,1
3840,9.01,96.1,9.01,93.0,1,1,1
3900,8.99,96.1,8.99,92.9,1,1,1
3960,8.97,96.0,8.97,92.9,1,1,1
4020,8.95,96.0,8.95,92.9,1,1,1
4080,8.93,96.0,8.93,92.9,1,1,1
4140,8.91,96.0,8.91,92.9,1,1,1
4200,8.89,96.0,8.89,92.9,1,1,1
4260,8.87,96.0,8.87,92.9,1,1,1
4320,8.85,96.0,8.85,92.9,1,1,1
