t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
0,11.29,100.0,11.29,91.4,0,0,0
60,11.29,100.0,11.29,91.4,0,0,0
120,11.28,100.0,11.28,91.5,0,0,0
180,11.27,100.0,11.27,91.5,0,0,0
240,11.27,100.0,11.27,91.5,0,0,0
300,11.26,100.0,11.26,91.5,0,0,0
360,11.25,100.0,11.25,91.5,0,0,0
420,11.25,100.0,11.25,91.6,0,0,0
480,11.24,100.0,11.24,91.6,0,0,0
540,11.23,100.0,11.23,91.6,0,0,0
600,11.23,100.0,11.23,91.6,0,0,0
660,11.22,100.0,11.22,91.6,1,1,0
720,11.21,100.0,11.21,91.7,1,1,0
780,11.21,94.4,11.21,91.7,1,1,1
840,11.20,94.4,11.20,91.7,1,1,1
900,11.19,94.4,11.19,91.7,1,1,1
960,11.19,94.4,11.19,91.7,1,1,1
1020,11.18,94.4,11.18,91.8,1,1,1
1080,11.17,94.5,11.17,91.8,1,1,1
1140,11.17,94.5,11.17,91.8,1,1,1
1200,11.16,94.5,11.16,91.8,1,1,1
1260,11.15,94.5,11.15,91.8,1,1,1
1320,11.15,94.5,11.15,91.9,1,1,1
1380,11.14,94.6,11.14,91.9,1,1,1
1440,11.13,94.6,11.13,91.9,1,1,1
1500,11.13,94.6,11.13,91.9,1,1,1
1560,11.12,94.6,11.12,91.9,1,1,1
1620,11.11,94.7,11.11,92.0,1,1,1
1680,11.11,94.7,11.11,92.0,1,1,1
1740,11.10,94.7,11.10,92.0,1,1,1
1800,11.09,94.7,11.09,92.0,1,1,1
1860,11.08,94.7,11.08,92.0,1,1,1
1920,11.07,94.7,11.07,92.0,1,1,1
1980,11.06,94.7,11.06,92.0,1,1,1
2040,11.05,94.8,11.05,92.1,1,1,1
2100,11.04,94.8,11.04,92.1,1,1,1
2160,11.03,94.8,11.03,92.1,1,1,1
2220,11.02,94.8,11.02,92.1,1,1,1
2280,11.01,94.8,11.01,92.1,1,1,1
2340,11.00,94.8,11.00,92.1,1,1,1
2400,10.99,94.8,10.99,92.1,1,1,1
2460,10.98,94.8,10.98,92.1,1,1,1
2520,10.97,94.8,10.97,92.1,1,1,1
2580,10.96,94.9,10.96,92.1,1,1,1
2640,10.95,94.9,10.95,92.2,1,1,1
2700,10.94,94.9,10.94,92.2,1,1,1
2760,10.93,94.9,10.93,92.2,1,1,1
2820,10.92,94.9,10.92,92.2,1,1,1
2880,10.91,94.9,10.91,92.2,1,1,1
2940,10.90,94.9,10.90,92.2,1,1,1
3000,10.89,94.9,10.89,92.2,1,1,1
3060,10.88,95.0,10.88,92.2,1,1,1
3120,10.87,95.0,10.87,92.2,1,1,1
3180,10.86,95.0,10.86,92.2,1,1,1
3240,10.85,95.0,10.85,92.3,1,1,1
3300,10.84,95.0,10.84,92.3,1,1,1
3360,10.83,95.0,10.83,92.3,1,1,1
3420,10.82,95.0,10.82,92.3,1,1,1
3480,10.81,95.0,10.81,92.3,1,1,1
3540,10.80,95.0,10.80,92.3,1,1,1
3600,10.78,95.1,10.78,92.3,1,1,1
3660,10.76,95.1,10.76,92.3,1,1,1
3720,10.74,95.1,10.74,92.3,1,1,1
3780,10.72,95.1,10.72,92.4,1,1,1
3840,10.70,95.1,10.70,92.4,1,1,1
3900,10.68,95.2,10.68,92.4,1,1,1
3960,10.66,95.2,10.66,92.4,1,1,1
4020,10.64,95.2,10.64,92.4,1,1,1
4080,10.62,95.2,10.62,92.4,1,1,1
4140,10.60,95.2,10.60,92.4,1,1,1
4200,10.58,95.2,10.58,92.4,1,1,1
4260,10.56,95.3,10.56,92.5,1,1,1
4320,10.54,95.3,10.54,92.5,1,1,1
4380,10.52,95.3,10.52,92.5,1,1,1
4440,10.50,95.3,10.50,92.5,1,1,1
4500,10.48,95.3,10.48,92.5,1,1,1
4560,10.46,95.3,10.46,92.5,1,1,1
4620,10.44,95.4,10.44,92.5,1,1,1
4680,10.42,95.4,10.42,92.6,1,1,1
4740,10.40,95.4,10.40,92.6,1,1,1
4800,10.38,95.4,10.38,92.6,1,1,1
4860,10.36,95.4,10.36,92.6,1,1,1
4920,10.34,95.4,10.34,92.6,1,1,1
4980,10.32,95.5,10.32,92.6,1,1,1
5040,10.30,95.5,10.30,92.6,1,1,1
