t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
0,7.60,100.0,7.60,92.1,0,0,0
60,7.58,100.0,7.58,92.1,0,0,0
120,7.56,100.0,7.56,92.1,0,0,0
180,7.54,100.0,7.54,92.1,0,0,0
240,7.52,100.0,7.52,92.1,0,0,0
300,7.50,100.0,7.50,92.0,0,0,0
360,7.48,100.0,7.48,92.0,0,0,0
420,7.46,100.0,7.46,92.0,0,0,0
480,7.44,100.0,7.44,92.0,0,0,0
540,7.42,100.0,7.42,92.0,0,0,0
600,7.40,100.0,7.40,92.0,0,0,0
660,7.38,100.0,7.38,92.0,1,1,0
720,7.36,100.0,7.36,92.0,1,1,0
780,7.34,95.4,7.34,92.0,1,1,1
840,7.32,95.4,7.32,92.0,1,1,1
900,7.30,95.4,7.30,91.9,1,1,1
960,7.28,95.4,7.28,91.9,1,1,1
1020,7.26,95.4,7.26,91.9,1,1,1
1080,7.24,95.4,7.24,91.9,1,1,1
1140,7.22,95.4,7.22,91.9,1,1,1
1200,7.20,95.4,7.20,91.9,1,1,1
1260,7.18,95.4,7.18,91.9,1,1,1
1320,7.16,95.4,7.16,91.9,1,1,1
1380,7.14,95.4,7.14,91.9,1,1,1
1440,7.12,95.4,7.12,91.9,1,1,1
1500,7.10,95.4,7.10,91.8,1,1,1
1560,7.08,95.4,7.08,91.8,1,1,1
1620,7.06,95.4,7.06,91.8,1,1,1
1680,7.04,95.4,7.04,91.8,1,1,1
1740,7.02,95.4,7.02,91.8,1,1,1
1800,7.00,95.4,7.00,91.8,1,1,1
1860,6.99,95.4,6.99,91.8,1,1,1
1920,6.98,95.4,6.98,91.8,1,1,1
1980,6.97,95.4,6.97,91.8,1,1,1
2040,6.96,95.4,6.96,91.9,1,1,1
2100,6.95,95.5,6.95,91.9,1,1,1
2160,6.94,95.5,6.94,91.9,1,1,1
2220,6.93,95.5,6.93,91.9,1,1,1
2280,6.92,95.5,6.92,91.9,1,1,1
2340,6.91,95.5,6.91,92.0,1,1,1
2400,6.90,95.6,6.90,92.0,1,1,1
2460,6.89,95.6,6.89,92.0,1,1,1
2520,6.88,95.6,6.88,92.0,1,1,1
2580,6.87,95.6,6.87,92.0,1,1,1
2640,6.86,95.6,6.86,92.0,1,1,1
2700,6.85,95.6,6.85,92.0,1,1,1
2760,6.84,95.7,6.84,92.1,1,1,1
2820,6.83,95.7,6.83,92.1,1,1,1
2880,6.82,95.7,6.82,92.1,1,1,1
2940,6.81,95.7,6.81,92.1,1,1,1
3000,6.80,95.7,6.80,92.1,1,1,1
3060,6.79,95.8,6.79,92.1,1,1,1
3120,6.78,95.8,6.78,92.2,1,1,1
3180,6.77,95.8,6.77,92.2,1,1,1
3240,6.76,95.8,6.76,92.2,1,1,1
3300,6.75,95.8,6.75,92.2,1,1,1
3360,6.74,95.9,6.74,92.2,1,1,1
3420,6.73,95.9,6.73,92.2,1,1,1
3480,6.72,95.9,6.72,92.3,1,1,1
3540,6.71,95.9,6.71,92.3,1,1,1
3600,6.70,95.9,6.70,92.3,1,1,1
3660,6.69,96.0,6.69,92.3,1,1,1
3720,6.69,96.0,6.69,92.3,1,1,1
3780,6.68,96.0,6.68,92.3,1,1,1
3840,6.67,96.0,6.67,92.4,1,1,1
3900,6.67,96.0,6.67,92.4,1,1,1
3960,6.66,96.0,6.66,92.4,1,1,1
4020,6.65,96.0,6.65,92.4,1,1,1
4080,6.65,96.1,6.65,92.4,1,1,1
4140,6.64,96.1,6.64,92.4,1,1,1
4200,6.63,96.1,6.63,92.4,1,1,1
4260,6.63,96.1,6.63,92.4,1,1,1
4320,6.62,96.1,6.62,92.5,1,1,1
4380,6.61,96.1,6.61,92.5,1,1,1
4440,6.61,96.1,6.61,92.5,1,1,1
4500,6.60,96.2,6.60,92.5,1,1,1
4560,6.59,96.2,6.59,92.5,1,1,1
4620,6.59,96.2,6.59,92.5,1,1,1
4680,6.58,96.2,6.58,92.5,1,1,1
4740,6.57,96.2,6.57,92.6,1,1,1
4800,6.57,96.2,6.57,92.6,1,1,1
4860,6.56,96.3,6.56,92.6,1,1,1
4920,6.55,96.3,6.55,92.6,1,1,1
4980,6.55,96.3,6.55,92.6,1,1,1
5040,6.54,96.3,6.54,92.6,1,1,1
5100,6.53,96.3,6.53,92.6,1,1,1
5160,6.53,96.3,6.53,92.6,1,1,1
5220,6.52,96.3,6.52,92.7,1,1,1
5280,6.51,96.4,6.51,92.7,1,1,1
5340,6.51,96.4,6.51,92.7,1,1,1
5400,6.50,96.4,6.50,92.7,1,1,1
5460,6.49,96.4,6.49,92.7,1,1,1
5520,6.48,96.4,6.48,92.7,1,1,1
5580,6.47,96.4,6.47,92.7,1,1,1
5640,6.46,96.3,6.46,92.6,1,1,1
5700,6.45,96.3,6.45,92.6,1,1,1
5760,6.44,96.3,6.44,92.6,1,1,1
5820,6.43,96.3,6.43,92.6,1,1,1
5880,6.42,96.3,6.42,92.6,1,1,1
5940,6.41,96.3,6.41,92.6,1,1,1
6000,6.40,96.3,6.40,92.6,1,1,1
6060,6.39,96.3,6.39,92.6,1,1,1
6120,6.38,96.3,6.38,92.5,1,1,1
6180,6.37,96.2,6.37,92.5,1,1,1
6240,6.36,96.2,6.36,92.5,1,1,1
6300,6.35,96.2,6.35,92.5,1,1,1
6360,6.34,96.2,6.34,92.5,1,1,1
6420,6.33,96.2,6.33,92.5,1,1,1
6480,6.32,96.2,6.32,92.5,1,1,1
6540,6.31,96.2,6.31,92.4,1,1,1
6600,6.30,96.2,6.30,92.4,1,1,1
6660,6.29,96.2,6.29,92.4,1,1,1
6720,6.28,96.2,6.28,92.4,1,1,1
6780,6.27,96.1,6.27,92.4,1,1,1
6840,6.26,96.1,6.26,92.4,1,1,1
6900,6.25,96.1,6.25,92.4,1,1,1
6960,6.24,96.1,6.24,92.4,1,1,1
7020,6.23,96.1,6.23,92.3,1,1,1
7080,6.22,96.1,6.22,92.3,1,1,1
7140,6.21,96.1,6.21,92.3,1,1,1
7200,6.20,96.7,6.20,92.3,1,0,1
7260,6.16,96.7,6.16,92.3,1,0,1
7320,6.13,96.7,6.13,92.3,1,0,1
7380,6.09,96.7,6.09,92.2,1,0,1
7440,6.05,96.7,6.05,92.2,1,0,1
7500,6.02,96.7,6.02,92.2,1,0,1
7560,5.98,96.7,5.98,92.2,1,0,1
7620,5.94,96.6,5.94,92.2,1,0,1
7680,5.91,96.6,5.91,92.2,1,0,1
7740,5.87,96.6,5.87,92.1,1,0,1
7800,5.83,96.6,5.83,92.1,1,0,1
7860,5.80,96.6,5.80,92.1,1,0,1
7920,5.76,96.6,5.76,92.1,1,0,1
7980,5.72,96.6,5.72,92.1,1,0,1
8040,5.69,96.6,5.69,92.1,1,0,1
8100,5.65,96.6,5.65,92.0,1,0,1
8160,5.61,96.6,5.61,92.0,1,0,1
8220,5.58,96.6,5.58,92.0,1,0,1
8280,5.54,96.6,5.54,92.0,1,0,1
8340,5.50,96.6,5.50,92.0,1,0,1
8400,5.47,96.6,5.47,92.0,1,0,1
8460,5.43,96.6,5.43,92.0,1,0,1
8520,5.39,96.6,5.39,91.9,1,0,1
8580,5.36,96.6,5.36,91.9,1,0,1
8640,5.32,96.6,5.32,91.9,1,0,1
8700,5.28,96.6,5.28,91.9,1,0,1
8760,5.25,96.6,5.25,91.9,1,0,1
8820,5.21,96.6,5.21,91.8,1,0,1
8880,5.17,96.5,5.17,91.8,1,0,1
8940,5.14,96.5,5.14,91.8,1,0,1
9000,5.10,96.5,5.10,91.8,1,0,1
9060,5.14,96.6,5.14,91.9,1,0,1
9120,5.18,96.6,5.18,91.9,1,0,1
9180,5.22,96.7,5.22,92.0,1,0,1
9240,5.26,96.7,5.26,92.0,1,0,1
9300,5.30,96.7,5.30,92.1,1,0,1
9360,5.34,96.8,5.34,92.1,1,0,1
9420,5.38,96.8,5.38,92.2,1,0,1
9480,5.42,96.9,5.42,92.2,1,0,1
9540,5.46,96.9,5.46,92.3,1,0,1
9600,5.50,96.9,5.50,92.3,1,0,1
9660,5.54,97.0,5.54,92.4,1,0,1
9720,5.58,97.0,5.58,92.4,1,0,1
9780,5.62,97.1,5.62,92.5,1,0,1
9840,5.66,97.1,5.66,92.5,1,0,1
9900,5.70,97.1,5.70,92.6,1,0,1
9960,5.74,97.2,5.74,92.7,1,0,1
10020,5.78,97.2,5.78,92.7,1,0,1
10080,5.82,97.3,5.82,92.8,1,0,1
10140,5.86,97.3,5.86,92.8,1,0,1
10200,5.90,97.3,5.90,92.9,1,0,1
10260,5.94,97.4,5.94,92.9,1,0,1
10320,5.98,97.4,5.98,93.0,1,0,1
10380,6.02,97.5,6.02,93.0,1,0,1
10440,6.06,97.5,6.06,93.1,1,0,1
10500,6.10,97.6,6.10,93.1,1,0,1
10560,6.14,97.6,6.14,93.2,1,0,1
10620,6.18,97.6,6.18,93.2,1,0,1
10680,6.22,97.7,6.22,93.3,1,0,1
10740,6.26,97.7,6.26,93.3,1,0,1
10800,6.30,97.8,6.30,93.4,1,0,1
10860,6.27,97.7,6.27,93.4,1,0,1
10920,6.24,97.7,6.24,93.3,1,0,1
10980,6.21,97.7,6.21,93.3,1,0,1
11040,6.18,97.6,6.18,93.3,1,0,1
11100,6.15,97.6,6.15,93.2,1,0,1
11160,6.12,97.6,6.12,93.2,1,0,1
11220,6.09,97.6,6.09,93.1,1,0,1
11280,6.06,97.5,6.06,93.1,1,0,1
11340,6.03,97.5,6.03,93.1,1,0,1
11400,6.00,97.5,6.00,93.0,1,0,1
11460,5.97,97.5,5.97,93.0,1,0,1
11520,5.94,97.4,5.94,93.0,1,0,1
11580,5.91,97.4,5.91,92.9,1,0,1
11640,5.88,97.4,5.88,92.9,1,0,1
11700,5.85,97.3,5.85,92.8,1,0,1
11760,5.82,97.3,5.82,92.8,1,0,1
11820,5.79,97.3,5.79,92.8,1,0,1
11880,5.76,97.3,5.76,92.7,1,0,1
11940,5.73,97.2,5.73,92.7,1,0,1
12000,5.70,97.2,5.70,92.7,1,0,1
12060,5.67,97.2,5.67,92.6,1,0,1
12120,5.64,97.2,5.64,92.6,1,0,1
12180,5.61,97.1,5.61,92.6,1,0,1
12240,5.58,97.1,5.58,92.5,1,0,1
12300,5.55,97.1,5.55,92.5,1,0,1
12360,5.52,97.0,5.52,92.4,1,0,1
12420,5.49,97.0,5.49,92.4,1,0,1
12480,5.46,97.0,5.46,92.4,1,0,1
12540,5.43,97.0,5.43,92.3,1,0,1
12600,5.40,96.9,5.40,92.3,1,0,1
