timestamp,type,initiator,ch,param,value_a,value_b
2026-05-14T07:11:22,SENSOR,SYS,0,0,11,89
2026-05-14T07:11:52,SENSOR,SYS,0,0,11,89
2026-05-14T07:11:59,SYSTEM,SYS,0,0,7,127
2026-05-14T07:11:59,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:12:23,SENSOR,SYS,0,0,11,89
2026-05-14T07:12:53,SENSOR,SYS,0,0,11,89
2026-05-14T07:12:59,SYSTEM,SYS,0,0,7,130
2026-05-14T07:12:59,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:13:24,SENSOR,SYS,0,0,11,89
2026-05-14T07:13:55,SENSOR,SYS,0,0,11,89
2026-05-14T07:14:00,SYSTEM,SYS,0,0,7,130
2026-05-14T07:14:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:14:26,SENSOR,SYS,0,0,11,89
2026-05-14T07:14:56,SENSOR,SYS,0,0,11,89
2026-05-14T07:15:00,SYSTEM,SYS,0,0,7,130
2026-05-14T07:15:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:15:27,SENSOR,SYS,0,0,11,89
2026-05-14T07:15:57,SENSOR,SYS,0,0,11,89
2026-05-14T07:16:00,SYSTEM,SYS,0,0,7,129
2026-05-14T07:16:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:16:28,SENSOR,SYS,0,0,11,89
2026-05-14T07:16:58,SENSOR,SYS,0,0,11,89
2026-05-14T07:17:00,SYSTEM,SYS,0,0,7,130
2026-05-14T07:17:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:17:29,SENSOR,SYS,0,0,11,89
2026-05-14T07:18:00,SENSOR,SYS,0,0,11,89
2026-05-14T07:18:01,SYSTEM,SYS,0,0,7,129
2026-05-14T07:18:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:18:31,SENSOR,SYS,0,0,11,89
2026-05-14T07:19:01,SYSTEM,SYS,0,0,7,130
2026-05-14T07:19:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:19:01,SENSOR,SYS,0,0,11,89
2026-05-14T07:19:32,SENSOR,SYS,0,0,11,89
2026-05-14T07:20:01,SYSTEM,SYS,0,0,7,127
2026-05-14T07:20:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:20:02,SENSOR,SYS,0,0,11,89
2026-05-14T07:20:33,SENSOR,SYS,0,0,11,89
2026-05-14T07:21:01,SYSTEM,SYS,0,0,7,129
2026-05-14T07:21:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:21:03,SENSOR,SYS,0,0,11,89
2026-05-14T07:21:34,SENSOR,SYS,0,0,11,89
2026-05-14T07:22:01,SYSTEM,SYS,0,0,7,129
2026-05-14T07:22:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:22:04,SENSOR,SYS,0,0,11,89
2026-05-14T07:22:35,SENSOR,SYS,0,0,11,89
2026-05-14T07:23:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:23:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:23:06,SENSOR,SYS,0,0,11,89
2026-05-14T07:23:37,SENSOR,SYS,0,0,11,89
2026-05-14T07:24:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:24:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:24:07,SENSOR,SYS,0,0,11,89
2026-05-14T07:24:38,SENSOR,SYS,0,0,11,89
2026-05-14T07:25:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:25:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:25:08,SENSOR,SYS,0,0,11,89
2026-05-14T07:25:39,SENSOR,SYS,0,0,11,89
2026-05-14T07:26:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:26:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:26:09,SENSOR,SYS,0,0,11,89
2026-05-14T07:26:40,SENSOR,SYS,0,0,11,89
2026-05-14T07:27:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:27:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:27:11,SENSOR,SYS,0,0,11,89
2026-05-14T07:27:41,SENSOR,SYS,0,0,11,89
2026-05-14T07:28:02,SYSTEM,SYS,0,0,7,129
2026-05-14T07:28:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:28:12,SENSOR,SYS,0,0,11,89
2026-05-14T07:28:42,SENSOR,SYS,0,0,11,89
2026-05-14T07:29:02,SYSTEM,SYS,0,0,7,127
2026-05-14T07:29:02,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:29:13,SENSOR,SYS,0,0,12,88
2026-05-14T07:29:44,SENSOR,SYS,0,0,12,88
2026-05-14T07:30:03,SYSTEM,SYS,0,0,7,129
2026-05-14T07:30:03,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:30:15,SENSOR,SYS,0,0,12,88
2026-05-14T07:30:45,SENSOR,SYS,0,0,12,87
2026-05-14T07:31:03,SYSTEM,SYS,0,0,7,129
2026-05-14T07:31:03,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:31:16,SENSOR,SYS,0,0,12,87
2026-05-14T07:31:46,SENSOR,SYS,0,0,13,87
2026-05-14T07:32:03,SYSTEM,SYS,0,0,7,129
2026-05-14T07:32:03,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:32:17,SENSOR,SYS,0,0,13,86
2026-05-14T07:32:47,SENSOR,SYS,0,0,13,86
2026-05-14T07:33:03,SYSTEM,SYS,0,0,7,129
2026-05-14T07:33:03,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:33:18,SENSOR,SYS,0,0,13,86
2026-05-14T07:33:48,SENSOR,SYS,0,0,13,85
2026-05-14T07:34:03,SYSTEM,SYS,0,0,7,129
2026-05-14T07:34:03,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:34:19,SENSOR,SYS,0,0,14,85
2026-05-14T07:34:50,SENSOR,SYS,0,0,14,84
2026-05-14T07:35:04,SYSTEM,SYS,0,0,7,129
2026-05-14T07:35:04,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:35:21,SENSOR,SYS,0,0,14,84
2026-05-14T07:35:51,SENSOR,SYS,0,0,14,84
2026-05-14T07:36:04,SYSTEM,SYS,0,0,7,129
2026-05-14T07:36:04,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:36:22,SENSOR,SYS,0,0,14,83
2026-05-14T07:36:52,SENSOR,SYS,0,0,14,83
2026-05-14T07:37:04,SYSTEM,SYS,0,0,7,129
2026-05-14T07:37:04,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:37:23,SENSOR,SYS,0,0,14,83
2026-05-14T07:37:53,SENSOR,SYS,0,0,14,82
2026-05-14T07:38:04,SYSTEM,SYS,0,0,7,129
2026-05-14T07:38:04,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:38:24,SENSOR,SYS,0,0,14,82
2026-05-14T07:38:55,SENSOR,SYS,0,0,14,82
2026-05-14T07:39:05,SYSTEM,SYS,0,0,7,129
2026-05-14T07:39:05,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:39:26,SENSOR,SYS,0,0,14,82
2026-05-14T07:39:56,SENSOR,SYS,0,0,14,82
2026-05-14T07:40:05,SYSTEM,SYS,0,0,7,129
2026-05-14T07:40:05,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:40:27,SENSOR,SYS,0,0,14,82
2026-05-14T07:40:57,SENSOR,SYS,0,0,14,82
2026-05-14T07:41:05,SYSTEM,SYS,0,0,7,129
2026-05-14T07:41:05,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:41:28,SENSOR,SYS,0,0,14,82
2026-05-14T07:41:58,SENSOR,SYS,0,0,13,82
2026-05-14T07:42:05,SYSTEM,SYS,0,0,7,129
2026-05-14T07:42:05,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:42:29,SENSOR,SYS,0,0,13,82
2026-05-14T07:43:00,SENSOR,SYS,0,0,13,83
2026-05-14T07:43:06,SYSTEM,SYS,0,0,7,130
2026-05-14T07:43:06,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:43:30,SENSOR,SYS,0,0,13,83
2026-05-14T07:44:01,SENSOR,SYS,0,0,13,83
2026-05-14T07:44:06,SYSTEM,SYS,0,0,7,130
2026-05-14T07:44:06,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:44:31,SENSOR,SYS,0,0,13,83
2026-05-14T07:45:02,SENSOR,SYS,0,0,13,83
2026-05-14T07:45:06,SYSTEM,SYS,0,0,7,130
2026-05-14T07:45:06,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:45:33,SENSOR,SYS,0,0,12,84
2026-05-14T07:46:04,SENSOR,SYS,0,0,12,84
2026-05-14T07:46:07,SYSTEM,SYS,0,0,7,130
2026-05-14T07:46:07,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:46:34,SENSOR,SYS,0,0,12,84
2026-05-14T07:47:05,SENSOR,SYS,0,0,12,84
2026-05-14T07:47:07,SYSTEM,SYS,0,0,7,130
2026-05-14T07:47:07,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:47:35,SENSOR,SYS,0,0,12,84
2026-05-14T07:48:06,SENSOR,SYS,0,0,12,84
2026-05-14T07:48:07,SYSTEM,SYS,0,0,7,130
2026-05-14T07:48:07,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:48:36,SENSOR,SYS,0,0,12,85
2026-05-14T07:49:07,SENSOR,SYS,0,0,12,84
2026-05-14T07:49:07,SYSTEM,SYS,0,0,7,129
2026-05-14T07:49:07,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:49:37,SENSOR,SYS,0,0,12,84
2026-05-14T07:50:07,SYSTEM,SYS,0,0,7,129
2026-05-14T07:50:07,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:50:08,SENSOR,SYS,0,0,13,84
2026-05-14T07:50:39,SENSOR,SYS,0,0,13,84
2026-05-14T07:51:08,SYSTEM,SYS,0,0,7,129
2026-05-14T07:51:08,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:51:10,SENSOR,SYS,0,0,13,84
2026-05-14T07:51:40,SENSOR,SYS,0,0,13,83
2026-05-14T07:52:08,SYSTEM,SYS,0,0,7,130
2026-05-14T07:52:08,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:52:11,SENSOR,SYS,0,0,13,83
2026-05-14T07:52:41,SENSOR,SYS,0,0,13,82
2026-05-14T07:53:08,SYSTEM,SYS,0,0,7,130
2026-05-14T07:53:08,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:53:12,SENSOR,SYS,0,0,13,82
2026-05-14T07:53:42,SENSOR,SYS,0,0,14,82
2026-05-14T07:54:08,SYSTEM,SYS,0,0,7,130
2026-05-14T07:54:08,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:54:13,SENSOR,SYS,0,0,14,81
2026-05-14T07:54:44,SENSOR,SYS,0,0,14,81
2026-05-14T07:55:09,SYSTEM,SYS,0,0,7,130
2026-05-14T07:55:09,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:55:15,SENSOR,SYS,0,0,14,81
2026-05-14T07:55:45,SENSOR,SYS,0,0,14,80
2026-05-14T07:56:09,SYSTEM,SYS,0,0,7,130
2026-05-14T07:56:09,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:56:16,SENSOR,SYS,0,0,14,80
2026-05-14T07:56:46,SENSOR,SYS,0,0,14,79
2026-05-14T07:57:09,SYSTEM,SYS,0,0,7,129
2026-05-14T07:57:09,SYSTEM,SYS,0,0,8,8144
2026-05-14T07:57:17,SENSOR,SYS,0,0,14,79
