timestamp,type,initiator,ch,param,value_a,value_b
2026-05-14T01:15:28,SYSTEM,WEB,0,0,1,1
2026-05-14T01:15:42,SENSOR,SYS,0,0,7,93
2026-05-14T01:15:58,SYSTEM,SYS,0,0,7,131
2026-05-14T01:15:58,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:16:13,SENSOR,SYS,0,0,7,93
2026-05-14T01:16:43,SENSOR,SYS,0,0,7,93
2026-05-14T01:16:58,SYSTEM,SYS,0,0,7,131
2026-05-14T01:16:58,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:17:14,SENSOR,SYS,0,0,7,93
2026-05-14T01:17:44,SENSOR,SYS,0,0,7,93
2026-05-14T01:17:58,SYSTEM,SYS,0,0,7,131
2026-05-14T01:17:58,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:18:15,SENSOR,SYS,0,0,7,93
2026-05-14T01:18:45,SENSOR,SYS,0,0,7,93
2026-05-14T01:18:58,SYSTEM,SYS,0,0,7,131
2026-05-14T01:18:58,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:19:16,SENSOR,SYS,0,0,7,93
2026-05-14T01:19:46,SENSOR,SYS,0,0,7,93
2026-05-14T01:19:58,SYSTEM,SYS,0,0,7,131
2026-05-14T01:19:58,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:20:17,SENSOR,SYS,0,0,7,93
2026-05-14T01:20:48,SENSOR,SYS,0,0,7,93
2026-05-14T01:20:59,SYSTEM,SYS,0,0,7,131
2026-05-14T01:20:59,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:21:19,SENSOR,SYS,0,0,7,93
2026-05-14T01:21:49,SENSOR,SYS,0,0,7,93
2026-05-14T01:21:59,SYSTEM,SYS,0,0,7,131
2026-05-14T01:21:59,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:22:20,SENSOR,SYS,0,0,7,93
2026-05-14T01:22:50,SENSOR,SYS,0,0,7,93
2026-05-14T01:22:59,SYSTEM,SYS,0,0,7,131
2026-05-14T01:22:59,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:23:21,SENSOR,SYS,0,0,7,93
2026-05-14T01:23:52,SENSOR,SYS,0,0,7,93
2026-05-14T01:24:00,SYSTEM,SYS,0,0,7,131
2026-05-14T01:24:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:24:22,SENSOR,SYS,0,0,7,93
2026-05-14T01:24:53,SENSOR,SYS,0,0,7,93
2026-05-14T01:25:00,SYSTEM,SYS,0,0,7,131
2026-05-14T01:25:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:25:23,SENSOR,SYS,0,0,7,93
2026-05-14T01:25:54,SENSOR,SYS,0,0,7,93
2026-05-14T01:26:00,SYSTEM,SYS,0,0,7,131
2026-05-14T01:26:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:26:24,SENSOR,SYS,0,0,7,93
2026-05-14T01:26:55,SENSOR,SYS,0,0,7,93
2026-05-14T01:27:00,SYSTEM,SYS,0,0,7,131
2026-05-14T01:27:00,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:27:26,SENSOR,SYS,0,0,7,93
2026-05-14T01:27:57,SENSOR,SYS,0,0,7,93
2026-05-14T01:28:01,SYSTEM,SYS,0,0,7,131
2026-05-14T01:28:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:28:27,SENSOR,SYS,0,0,7,93
2026-05-14T01:28:58,SENSOR,SYS,0,0,7,93
2026-05-14T01:29:01,SYSTEM,SYS,0,0,7,131
2026-05-14T01:29:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:29:28,SENSOR,SYS,0,0,7,93
2026-05-14T01:29:59,SENSOR,SYS,0,0,7,93
2026-05-14T01:30:01,SYSTEM,SYS,0,0,7,131
2026-05-14T01:30:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:30:29,SENSOR,SYS,0,0,7,93
2026-05-14T01:31:00,SENSOR,SYS,0,0,7,93
2026-05-14T01:31:01,SYSTEM,SYS,0,0,7,131
2026-05-14T01:31:01,SYSTEM,SYS,0,0,8,8144
2026-05-14T01:31:30,SENSOR,SYS,0,0,7,93
