timestamp,type,initiator,ch,param,value_a,value_b
2026-09-17T22:17:42,SYSTEM,SYS,0,0,11,23688
2026-09-17T22:17:42,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:17:50,SYSTEM,SYS,0,0,7,58
2026-09-17T22:17:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:17:50,SYSTEM,SYS,0,0,12,25
2026-09-17T22:18:00,SYSTEM,WEB,0,0,1,1
2026-09-17T22:18:02,SYSTEM,WEB,0,0,1,0
2026-09-17T22:18:12,SENSOR_HR,SYS,0,0,170,92
2026-09-17T22:18:12,SENSOR_HR,SYS,1,0,15,269
2026-09-17T22:18:12,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:18:43,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:18:43,SENSOR_HR,SYS,1,0,6,308
2026-09-17T22:18:43,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:18:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:18:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:18:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:19:13,SENSOR_HR,SYS,0,0,172,92
2026-09-17T22:19:13,SENSOR_HR,SYS,1,0,2,216
2026-09-17T22:19:13,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:19:43,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:19:43,SENSOR_HR,SYS,1,0,10,262
2026-09-17T22:19:43,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:19:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:19:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:19:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:19:55,SYSTEM,SYS,0,0,21,30
2026-09-17T22:20:02,SYSTEM,WEB,0,0,1,0
2026-09-17T22:20:13,SENSOR_HR,SYS,0,0,172,92
2026-09-17T22:20:13,SENSOR_HR,SYS,1,0,10,249
2026-09-17T22:20:13,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:20:43,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:20:43,SENSOR_HR,SYS,1,0,28,242
2026-09-17T22:20:43,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:20:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:20:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:20:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:21:13,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:21:13,SENSOR_HR,SYS,1,0,10,230
2026-09-17T22:21:13,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:21:44,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:21:44,SENSOR_HR,SYS,1,0,7,185
2026-09-17T22:21:44,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:21:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:21:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:21:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:22:02,SYSTEM,WEB,0,0,1,0
2026-09-17T22:22:14,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:22:14,SENSOR_HR,SYS,1,0,6,262
2026-09-17T22:22:14,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:22:44,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:22:44,SENSOR_HR,SYS,1,0,4,250
2026-09-17T22:22:44,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:22:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:22:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:22:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:23:14,SENSOR_HR,SYS,0,0,170,92
2026-09-17T22:23:14,SENSOR_HR,SYS,1,0,7,262
2026-09-17T22:23:14,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:23:44,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:23:44,SENSOR_HR,SYS,1,0,8,241
2026-09-17T22:23:44,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:23:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:23:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:23:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:24:03,SYSTEM,WEB,0,0,1,0
2026-09-17T22:24:14,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:24:14,SENSOR_HR,SYS,1,0,20,254
2026-09-17T22:24:14,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:24:45,SENSOR_HR,SYS,0,0,172,92
2026-09-17T22:24:45,SENSOR_HR,SYS,1,0,9,208
2026-09-17T22:24:45,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:24:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:24:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:24:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:25:15,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:25:15,SENSOR_HR,SYS,1,0,9,125
2026-09-17T22:25:15,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:25:45,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:25:45,SENSOR_HR,SYS,1,0,8,193
2026-09-17T22:25:45,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:25:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:25:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:25:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:26:03,SYSTEM,WEB,0,0,1,0
2026-09-17T22:26:15,SENSOR_HR,SYS,0,0,170,92
2026-09-17T22:26:15,SENSOR_HR,SYS,1,0,0,225
2026-09-17T22:26:15,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:26:45,SENSOR_HR,SYS,0,0,170,92
2026-09-17T22:26:45,SENSOR_HR,SYS,1,0,2,225
2026-09-17T22:26:45,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:26:50,SYSTEM,SYS,0,0,7,82
2026-09-17T22:26:50,SYSTEM,SYS,0,0,8,8152
2026-09-17T22:26:50,SYSTEM,SYS,0,0,12,31
2026-09-17T22:27:15,SENSOR_HR,SYS,0,0,171,92
2026-09-17T22:27:15,SENSOR_HR,SYS,1,0,3,293
2026-09-17T22:27:15,SENSOR_HR,SYS,2,0,0,0
2026-09-17T22:27:46,SENSOR_HR,SYS,0,0,170,92
