datetime,elapsed_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,t_avg_C,rh_avg_pct,M1_state,M2_state,M3_state,step_t,step_rh,step_resolved,is_daytime,wind_override
2025-06-15 00:00:00,0,11.29,100.0,11.29,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:01:00,60,11.29,100.0,11.29,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:02:00,120,11.28,100.0,11.28,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:03:00,180,11.27,100.0,11.27,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:04:00,240,11.27,100.0,11.27,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:05:00,300,11.26,100.0,11.26,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:06:00,360,11.25,100.0,11.25,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:07:00,420,11.25,100.0,11.25,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:08:00,480,11.24,100.0,11.24,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:09:00,540,11.23,100.0,11.23,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:10:00,600,11.23,100.0,11.23,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:11:00,660,11.22,100.0,11.22,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:12:00,720,11.21,100.0,11.21,100.0,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:13:00,780,11.21,100.0,11.21,94.4,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:14:00,840,11.20,100.0,11.20,94.4,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:15:00,900,11.19,100.0,11.19,94.4,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:16:00,960,11.19,100.0,11.19,94.4,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:17:00,1020,11.18,100.0,11.18,94.4,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:18:00,1080,11.17,100.0,11.17,94.5,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:19:00,1140,11.17,100.0,11.17,94.5,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:20:00,1200,11.16,100.0,11.16,94.5,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:21:00,1260,11.15,100.0,11.15,94.5,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:22:00,1320,11.15,100.0,11.15,94.5,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:23:00,1380,11.14,100.0,11.14,94.6,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:24:00,1440,11.13,100.0,11.13,94.6,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:25:00,1500,11.13,100.0,11.13,94.6,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:26:00,1560,11.12,100.0,11.12,94.6,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:27:00,1620,11.11,100.0,11.11,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:28:00,1680,11.11,100.0,11.11,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:29:00,1740,11.10,100.0,11.10,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:30:00,1800,11.09,100.0,11.09,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:31:00,1860,11.08,100.0,11.08,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:32:00,1920,11.07,100.0,11.07,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2025-06-15 00:33:00,1980,11.06,100.0,11.06,94.7,11,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
