timestamp,type,initiator,ch,param,value_a,value_b
2026-07-13T19:28:46,SYSTEM,SYS,0,0,11,23688
2026-07-13T19:28:46,SENSOR_HR,SYS,1,0,14,0
2026-07-13T19:28:46,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:29:02,SYSTEM,WEB,0,0,1,1
2026-07-13T19:29:03,SYSTEM,WEB,0,0,1,0
2026-07-13T19:29:15,SYSTEM,SYS,0,0,7,100
2026-07-13T19:29:15,SYSTEM,SYS,0,0,8,8153
2026-07-13T19:29:15,SYSTEM,SYS,0,0,12,31
2026-07-13T19:29:16,SENSOR_HR,SYS,0,0,295,56
2026-07-13T19:29:16,SENSOR_HR,SYS,1,0,20,5
2026-07-13T19:29:16,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:29:47,SENSOR_HR,SYS,0,0,295,57
2026-07-13T19:29:47,SENSOR_HR,SYS,1,0,17,351
2026-07-13T19:29:47,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:30:15,SYSTEM,SYS,0,0,7,100
2026-07-13T19:30:15,SYSTEM,SYS,0,0,8,8153
2026-07-13T19:30:15,SYSTEM,SYS,0,0,12,31
2026-07-13T19:30:17,SENSOR_HR,SYS,0,0,295,56
2026-07-13T19:30:17,SENSOR_HR,SYS,1,0,15,0
2026-07-13T19:30:17,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:30:47,SENSOR_HR,SYS,0,0,295,56
2026-07-13T19:30:47,SENSOR_HR,SYS,1,0,20,0
2026-07-13T19:30:47,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:31:07,SYSTEM,WEB,0,0,1,0
2026-07-13T19:31:15,SYSTEM,SYS,0,0,7,100
2026-07-13T19:31:15,SYSTEM,SYS,0,0,8,8153
2026-07-13T19:31:15,SYSTEM,SYS,0,0,12,31
2026-07-13T19:31:17,SENSOR_HR,SYS,0,0,294,56
2026-07-13T19:31:17,SENSOR_HR,SYS,1,0,16,1
2026-07-13T19:31:17,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:31:47,SENSOR_HR,SYS,0,0,294,56
2026-07-13T19:31:47,SENSOR_HR,SYS,1,0,13,8
2026-07-13T19:31:47,SENSOR_HR,SYS,2,0,10,0
2026-07-13T19:32:15,SYSTEM,SYS,0,0,7,100
