dateTime,airTemperature,airHumidity
2026-05-01 00:04:56,10.30,54.4
2026-05-01 00:19:56,9.60,57.1
2026-05-01 00:34:56,9.27,58.2
2026-05-01 01:04:56,7.08,68.7
2026-05-01 01:19:56,6.71,71.1
2026-05-01 01:35:03,6.13,73.4
2026-05-01 02:05:03,4.65,81.3
2026-05-01 02:19:56,4.34,83.5
2026-05-01 02:34:56,4.28,83.6
2026-05-01 02:50:03,4.18,83.9
2026-05-01 03:04:56,3.51,85.5
2026-05-01 03:20:03,3.43,86.3
2026-05-01 03:34:56,3.27,86.0
2026-05-01 04:05:03,2.59,88.9
2026-05-01 04:19:56,2.73,88.9
2026-05-01 04:34:56,2.36,88.3
2026-05-01 05:05:03,4.60,86.5
2026-05-01 05:35:03,7.54,75.2
2026-05-01 05:49:56,8.63,70.8
2026-05-01 06:05:03,10.33,64.1
2026-05-01 06:19:56,12.22,61.0
2026-05-01 06:34:56,13.40,55.0
2026-05-01 07:05:03,15.07,43.4
2026-05-01 07:20:03,15.63,44.6
2026-05-01 07:34:56,15.85,40.4
2026-05-01 07:49:56,16.62,38.0
2026-05-01 08:05:03,17.11,37.9
2026-05-01 08:19:56,17.47,33.2
2026-05-01 08:34:56,18.11,33.8
2026-05-01 09:05:03,18.94,31.1
2026-05-01 09:20:03,19.69,32.8
2026-05-01 09:34:56,20.22,30.8
2026-05-01 09:50:03,20.46,32.1
2026-05-01 10:05:02,20.84,30.8
2026-05-01 10:19:55,20.96,29.9
2026-05-01 10:34:55,21.90,32.9
2026-05-01 10:49:55,21.76,30.5
2026-05-01 11:19:55,22.56,29.4
2026-05-01 11:34:55,22.56,28.0
2026-05-01 11:49:55,23.00,28.2
2026-05-01 12:04:55,23.38,27.1
2026-05-01 12:20:02,23.32,26.0
2026-05-01 12:34:55,23.45,26.7
2026-05-01 12:49:55,23.61,25.9
2026-05-01 13:04:55,24.17,26.0
2026-05-01 13:20:02,24.42,25.5
2026-05-01 13:34:55,24.68,27.8
2026-05-01 13:50:02,24.43,26.7
2026-05-01 14:04:55,24.65,26.0
2026-05-01 14:50:02,25.05,24.3
2026-05-01 15:34:55,24.82,23.9
2026-05-01 15:49:55,24.78,23.8
2026-05-01 16:04:55,24.89,26.0
2026-05-01 16:34:55,24.37,26.1
2026-05-01 16:49:55,24.39,24.9
2026-05-01 17:04:55,24.27,25.5
2026-05-01 17:35:02,23.76,26.0
2026-05-01 17:49:55,23.44,26.4
2026-05-01 18:05:02,23.13,28.7
2026-05-01 18:20:02,22.64,28.1
2026-05-01 18:34:55,21.95,29.7
2026-05-01 18:49:55,20.61,32.0
2026-05-01 19:19:55,16.52,40.8
2026-05-01 19:34:55,14.85,49.0
2026-05-01 19:50:02,13.76,54.9
2026-05-01 20:20:02,12.18,60.4
2026-05-01 20:34:55,11.23,64.4
2026-05-01 20:49:55,10.41,67.4
2026-05-01 21:04:55,9.84,71.1
2026-05-01 21:35:02,9.09,74.3
2026-05-01 21:50:02,8.52,76.6
2026-05-01 22:04:55,8.18,77.8
2026-05-01 22:20:02,8.09,77.4
2026-05-01 22:34:55,7.56,80.2
2026-05-01 22:49:55,7.37,80.8
2026-05-01 23:04:55,7.06,82.4
2026-05-01 23:34:55,6.43,83.6
