t_s,T_in_C,RH_in_pct
0,7.60,100.0
60,7.58,100.0
120,7.56,100.0
180,7.54,100.0
240,7.52,100.0
300,7.50,100.0
360,7.48,100.0
420,7.46,100.0
480,7.44,100.0
540,7.42,100.0
600,7.40,100.0
660,7.38,100.0
720,7.36,100.0
780,7.34,95.4
840,7.32,95.4
900,7.30,95.4
960,7.28,95.4
1020,7.26,95.4
1080,7.24,95.4
1140,7.22,95.4
1200,7.20,95.4
1260,7.18,95.4
1320,7.16,95.4
1380,7.14,95.4
1440,7.12,95.4
1500,7.10,95.4
1560,7.08,95.4
1620,7.06,95.4
1680,7.04,95.4
1740,7.02,95.4
1800,7.00,95.4
1860,6.99,95.4
1920,6.98,95.4
1980,6.97,95.4
2040,6.96,95.4
2100,6.95,95.5
2160,6.94,95.5
2220,6.93,95.5
2280,6.92,95.5
2340,6.91,95.5
2400,6.90,95.6
2460,6.89,95.6
2520,6.88,95.6
2580,6.87,95.6
2640,6.86,95.6
2700,6.85,95.6
2760,6.84,95.7
2820,6.83,95.7
2880,6.82,95.7
2940,6.81,95.7
3000,6.80,95.7
3060,6.79,95.8
3120,6.78,95.8
3180,6.77,95.8
3240,6.76,95.8
3300,6.75,95.8
3360,6.74,95.9
3420,6.73,95.9
3480,6.72,95.9
3540,6.71,95.9
3600,6.70,95.9
3660,6.69,96.0
3720,6.69,96.0
3780,6.68,96.0
3840,6.67,96.0
3900,6.67,96.0
3960,6.66,96.0
4020,6.65,96.0
4080,6.65,96.1
4140,6.64,96.1
4200,6.63,96.1
4260,6.63,96.1
4320,6.62,96.1
4380,6.61,96.1
4440,6.61,96.1
4500,6.60,96.2
4560,6.59,96.2
4620,6.59,96.2
4680,6.58,96.2
4740,6.57,96.2
4800,6.57,96.2
4860,6.56,96.3
4920,6.55,96.3
4980,6.55,96.3
5040,6.54,96.3
5100,6.53,96.3
5160,6.53,96.3
5220,6.52,96.3
5280,6.51,96.4
5340,6.51,96.4
5400,6.50,96.4
5460,6.49,96.4
5520,6.48,96.4
5580,6.47,96.4
5640,6.46,96.3
5700,6.45,96.3
5760,6.44,96.3
5820,6.43,96.3
5880,6.42,96.3
5940,6.41,96.3
6000,6.40,96.3
6060,6.39,96.3
6120,6.38,96.3
6180,6.37,96.2
6240,6.36,96.2
6300,6.35,96.2
6360,6.34,96.2
6420,6.33,96.2
6480,6.32,96.2
6540,6.31,96.2
6600,6.30,96.2
6660,6.29,96.2
6720,6.28,96.2
6780,6.27,96.1
6840,6.26,96.1
6900,6.25,96.1
6960,6.24,96.1
7020,6.23,96.1
7080,6.22,96.1
7140,6.21,96.1
7200,6.20,96.1
7260,6.16,96.1
7320,6.13,96.1
7380,6.09,96.0
7440,6.05,96.0
7500,6.02,96.0
7560,5.98,96.0
7620,5.94,96.0
7680,5.91,96.0
7740,5.87,96.0
7800,5.83,96.0
7860,5.80,96.0
7920,5.76,96.0
7980,5.72,96.0
8040,5.69,96.0
8100,5.65,96.0
8160,5.61,96.0
8220,5.58,96.0
8280,5.54,95.9
8340,5.50,95.9
8400,5.47,95.9
8460,5.43,95.9
8520,5.39,95.9
8580,5.36,95.9
8640,5.32,95.9
8700,5.28,95.9
8760,5.25,95.9
8820,5.21,95.9
8880,5.17,95.9
8940,5.14,95.9
9000,5.10,95.9
9060,5.14,95.9
9120,5.18,96.0
9180,5.22,96.0
9240,5.26,96.0
9300,5.30,96.1
9360,5.34,96.1
9420,5.38,96.2
9480,5.42,96.2
9540,5.46,96.2
9600,5.50,96.3
9660,5.54,96.3
9720,5.58,96.4
9780,5.62,96.4
9840,5.66,96.5
9900,5.70,96.5
9960,5.74,96.5
10020,5.78,96.6
10080,5.82,96.6
10140,5.86,96.7
10200,5.90,96.7
10260,5.94,96.8
10320,5.98,96.8
10380,6.02,96.8
10440,6.06,96.9
10500,6.10,96.9
10560,6.14,97.0
10620,6.18,97.0
10680,6.22,97.1
10740,6.26,97.1
10800,6.30,97.1
10860,6.27,97.1
10920,6.24,97.1
10980,6.21,97.1
11040,6.18,97.0
11100,6.15,97.0
11160,6.12,97.0
11220,6.09,96.9
11280,6.06,96.9
11340,6.03,96.9
11400,6.00,96.9
11460,5.97,96.8
11520,5.94,96.8
11580,5.91,96.8
11640,5.88,96.7
11700,5.85,96.7
11760,5.82,96.7
11820,5.79,96.7
11880,5.76,96.6
11940,5.73,96.6
12000,5.70,96.6
12060,5.67,96.5
12120,5.64,96.5
12180,5.61,96.5
12240,5.58,96.5
12300,5.55,96.4
12360,5.52,96.4
12420,5.49,96.4
12480,5.46,96.3
12540,5.43,96.3
12600,5.40,96.3
12660,5.42,96.3
12720,5.43,96.3
12780,5.45,96.4
12840,5.47,96.4
12900,5.48,96.4
12960,5.50,96.5
13020,5.52,96.5
13080,5.53,96.5
13140,5.55,96.5
13200,5.57,96.6
13260,5.58,96.6
13320,5.60,96.6
13380,5.62,96.7
13440,5.63,96.7
13500,5.65,96.7
13560,5.67,96.7
13620,5.68,96.8
13680,5.70,96.8
13740,5.72,96.8
13800,5.73,96.9
13860,5.75,96.9
13920,5.77,96.9
13980,5.78,96.9
14040,5.80,97.0
14100,5.82,97.0
14160,5.83,97.0
14220,5.85,97.1
14280,5.87,97.1
14340,5.88,97.1
14400,5.90,97.1
14460,5.99,97.2
14520,6.07,97.2
14580,6.16,97.2
14640,6.25,97.2
14700,6.33,97.2
14760,6.42,97.2
14820,6.51,97.2
14880,6.59,97.2
14940,6.68,97.2
15000,6.77,97.2
15060,6.85,97.2
15120,6.94,97.2
15180,7.03,97.2
15240,7.11,97.3
15300,7.20,97.3
15360,7.29,97.3
15420,7.37,97.3
15480,7.46,97.3
15540,7.55,97.3
15600,7.63,97.3
15660,7.72,97.3
15720,7.81,97.3
15780,7.89,97.3
15840,7.98,97.3
15900,8.07,97.4
15960,8.15,97.4
16020,8.24,97.4
16080,8.33,97.4
16140,8.41,97.4
16200,8.50,97.4
16260,8.54,97.4
16320,8.58,97.3
16380,8.62,97.3
16440,8.66,97.2
16500,8.70,97.2
16560,8.74,97.1
16620,8.78,97.1
16680,8.82,97.0
16740,8.86,97.0
16800,8.90,96.9
16860,8.94,96.9
16920,8.98,96.8
16980,9.02,96.8
17040,9.06,96.7
17100,9.10,96.7
17160,9.14,96.6
17220,9.18,96.6
17280,9.22,96.5
17340,9.26,96.5
17400,9.30,96.4
17460,9.33,96.4
17520,9.37,96.4
17580,9.41,96.3
17640,9.45,96.3
17700,9.49,96.2
17760,9.53,96.2
17820,9.57,96.1
17880,9.61,96.1
17940,9.65,96.0
18000,9.69,96.0
18060,9.85,95.7
18120,10.03,95.4
18180,10.21,95.1
18240,10.39,94.8
18300,10.57,94.5
18360,10.75,94.2
18420,10.93,93.9
18480,11.12,93.6
18540,11.30,93.3
18600,11.48,93.0
18660,11.66,92.7
18720,11.84,92.4
18780,12.02,92.1
18840,12.20,91.8
18900,12.38,91.5
18960,12.56,91.2
19020,12.75,91.0
19080,12.93,90.7
19140,13.11,90.4
19200,13.29,90.1
19260,13.47,89.8
19320,13.65,89.5
19380,13.83,89.2
19440,14.01,94.3
19500,14.19,93.9
19560,14.38,93.6
19620,14.56,93.2
19680,14.74,92.9
19740,14.92,92.5
19800,15.10,92.2
19860,15.23,91.6
19920,15.36,91.1
19980,15.49,90.6
20040,15.62,90.0
20100,15.75,89.5
20160,15.88,88.9
20220,16.01,83.7
20280,16.14,83.5
20340,16.27,83.0
20400,16.40,82.5
20460,16.53,82.0
20520,16.66,81.5
20580,16.79,81.0
20640,16.92,80.5
20700,17.05,80.0
20760,17.18,79.5
20820,17.31,79.0
20880,17.44,78.5
20940,17.57,78.0
21000,17.70,87.1
21060,17.83,80.9
21120,17.96,80.4
21180,18.09,79.9
21240,18.22,79.4
21300,18.35,78.8
21360,18.48,78.3
21420,18.61,77.8
21480,18.74,77.2
21540,18.87,76.7
21600,19.00,76.2
21660,19.02,76.1
21720,19.03,76.1
21780,19.05,76.0
21840,19.07,75.9
21900,19.08,75.8
21960,19.10,75.8
22020,19.12,75.7
22080,19.13,75.6
22140,19.15,75.5
22200,19.17,75.5
22260,19.18,75.4
22320,19.20,75.3
22380,19.22,75.2
22440,19.24,75.2
22500,19.25,75.1
22560,19.27,75.0
22620,19.29,74.9
22680,19.31,79.9
22740,19.33,79.8
22800,19.35,79.7
22860,19.37,79.6
22920,19.38,79.6
22980,19.40,79.5
23040,19.42,79.4
23100,19.44,79.3
23160,19.46,79.2
23220,19.48,79.1
23280,19.50,79.0
23340,19.50,74.0
23400,19.52,73.9
23460,19.62,73.6
23520,19.73,73.3
23580,19.85,73.0
23640,19.96,72.6
23700,20.08,72.3
23760,20.19,71.9
23820,20.31,71.6
23880,20.42,71.2
23940,20.54,70.9
24000,20.69,75.0
24060,20.80,74.7
24120,20.92,74.3
24180,21.04,73.9
24240,21.16,73.5
24300,21.27,73.1
24360,21.39,72.7
24420,21.51,72.4
24480,21.63,72.0
24540,21.74,71.6
24600,21.86,71.2
24660,21.98,70.8
24720,22.10,70.5
24780,22.22,70.1
24840,22.33,69.7
24900,22.45,69.3
24960,22.57,68.9
25020,22.69,68.6
25080,22.81,68.2
25140,22.93,67.8
25200,23.04,67.4
25260,23.10,67.3
25320,23.15,67.2
25380,23.21,67.1
25440,23.26,67.0
25500,23.32,66.9
25560,23.37,66.8
25620,23.43,66.7
25680,23.49,66.6
25740,23.54,66.5
25800,23.60,66.4
25860,23.65,66.3
25920,23.71,66.2
25980,23.76,66.1
26040,23.82,66.0
26100,23.87,65.9
26160,23.93,65.8
26220,23.99,65.7
26280,24.04,65.6
26340,24.10,65.5
26400,24.15,65.4
26460,24.21,65.3
26520,24.27,65.2
26580,24.32,65.1
26640,24.38,65.0
26700,24.44,64.9
26760,24.49,64.8
26820,24.55,64.7
26880,24.61,64.6
26940,24.66,64.5
27000,24.72,64.4
27060,24.79,64.2
27120,24.85,64.1
27180,24.92,63.9
27240,24.99,63.7
27300,25.05,63.5
27360,25.12,63.4
27420,25.19,63.2
27480,25.26,63.0
27540,25.32,62.8
27600,25.39,62.7
27660,25.46,62.5
27720,25.53,62.3
27780,25.59,62.1
27840,25.66,62.0
27900,25.73,61.8
27960,25.80,61.6
28020,25.86,61.4
28080,25.93,61.3
28140,26.00,61.1
28200,26.07,60.9
28260,26.14,60.8
28320,26.20,60.6
28380,26.27,60.4
28440,26.34,60.2
28500,26.41,60.1
28560,26.48,59.9
28620,26.55,59.7
28680,26.61,59.5
28740,26.68,59.4
28800,26.75,59.2
28860,26.82,59.0
28920,26.89,58.8
28980,26.96,58.7
29040,27.03,58.5
29100,27.09,58.3
29160,27.16,58.1
29220,27.23,58.0
29280,27.30,57.8
29340,27.37,57.6
29400,27.44,57.5
29460,27.51,57.3
29520,27.58,57.1
29580,27.65,56.9
29640,27.72,56.8
29700,27.78,56.6
29760,27.85,56.4
29820,27.92,56.2
29880,27.99,56.1
29940,28.06,55.9
30000,27.78,53.9
30060,27.84,53.8
30120,27.91,53.7
30180,27.97,53.5
30240,28.04,53.4
30300,28.10,53.2
30360,28.17,53.1
30420,28.23,52.9
30480,28.30,52.8
30540,28.36,52.6
30600,28.43,52.5
30660,28.47,52.4
30720,28.52,52.4
30780,28.56,52.3
30840,28.61,52.3
30900,28.65,52.2
30960,28.70,52.2
31020,28.74,52.1
31080,28.79,52.1
31140,28.83,52.0
31200,28.87,52.0
31260,28.92,51.9
31320,28.96,51.8
31380,29.01,51.8
31440,29.05,51.7
31500,29.10,51.7
31560,29.14,51.6
31620,29.19,51.6
31680,29.23,51.5
31740,29.28,51.5
31800,29.32,51.4
31860,29.37,51.4
31920,29.41,51.3
31980,29.46,51.3
32040,29.50,51.2
32100,29.55,51.2
32160,29.59,51.1
32220,29.64,51.1
32280,29.69,51.0
32340,29.73,51.0
32400,29.78,50.9
32460,29.81,50.8
32520,29.83,50.7
32580,29.86,50.6
32640,29.88,50.4
32700,29.91,50.3
32760,29.93,50.2
32820,29.96,50.1
32880,29.99,49.9
32940,30.01,49.8
33000,30.04,49.7
33060,30.06,49.6
33120,29.63,48.8
33180,29.65,48.7
33240,29.67,48.6
33300,29.69,48.5
33360,29.71,48.4
33420,29.74,48.3
33480,29.76,48.1
33540,29.78,48.0
33600,29.80,47.9
33660,29.82,47.8
33720,29.85,47.7
33780,29.87,47.6
33840,29.89,47.5
33900,30.42,47.9
33960,30.45,47.7
34020,30.48,47.6
34080,30.50,47.5
34140,30.53,47.4
34200,30.55,47.2
34260,30.56,47.2
34320,30.57,47.1
34380,30.57,47.1
34440,30.58,47.0
34500,30.58,47.0
34560,30.59,46.9
34620,30.59,46.9
34680,30.03,46.5
34740,30.03,46.4
34800,30.04,46.4
34860,30.04,46.3
34920,30.04,46.3
34980,30.04,46.2
35040,30.04,46.2
35100,30.04,46.1
35160,30.05,46.1
35220,30.05,46.1
35280,30.05,46.0
35340,30.05,46.0
35400,30.05,45.9
35460,30.05,45.9
35520,30.06,45.8
35580,30.06,45.8
35640,30.06,45.7
35700,30.06,45.7
35760,30.06,45.7
35820,30.06,45.6
35880,30.07,45.6
35940,30.07,45.5
36000,30.07,45.5
36060,30.06,45.5
36120,30.06,45.5
36180,30.05,45.5
36240,30.05,45.5
36300,30.04,45.5
36360,30.04,45.5
36420,30.03,45.5
36480,30.03,45.5
36540,30.02,45.5
36600,30.02,45.5
36660,30.01,45.5
36720,30.01,45.5
36780,30.00,45.5
36840,30.00,45.5
36900,29.99,45.5
36960,29.99,45.5
37020,30.70,45.5
37080,30.70,45.5
37140,30.70,45.5
37200,30.70,45.5
37260,30.69,45.5
37320,30.69,45.5
37380,30.69,45.5
37440,30.69,45.5
37500,30.69,45.5
37560,30.69,45.4
37620,30.69,45.4
37680,30.68,45.4
37740,30.68,45.4
37800,29.92,45.6
37860,29.95,45.6
37920,29.99,45.6
37980,30.03,45.5
38040,30.07,45.5
38100,30.11,45.5
38160,30.14,45.5
38220,30.18,45.5
38280,30.22,45.5
38340,30.26,45.5
38400,30.30,45.5
38460,30.33,45.5
38520,30.37,45.5
38580,30.41,45.5
38640,30.45,45.5
38700,30.49,45.5
38760,30.52,45.5
38820,30.56,45.5
38880,30.60,45.5
38940,30.64,45.5
39000,30.68,45.5
39060,30.71,45.4
39120,30.75,45.4
39180,30.79,45.4
