t_s,T_in_C,RH_in_pct
0,9.99,100.0
60,9.98,100.0
120,9.96,100.0
180,9.94,100.0
240,9.93,100.0
300,9.91,100.0
360,9.89,100.0
420,9.88,100.0
480,9.86,100.0
540,9.84,100.0
600,9.83,100.0
660,9.81,100.0
720,9.79,100.0
780,9.78,95.5
840,9.76,95.5
900,9.74,95.6
960,9.73,95.6
1020,9.71,95.6
1080,9.69,95.6
1140,9.68,95.7
1200,9.66,95.7
1260,9.64,95.7
1320,9.63,95.7
1380,9.61,95.7
1440,9.59,95.8
1500,9.58,95.8
1560,9.56,95.8
1620,9.54,95.8
1680,9.53,95.9
1740,9.51,95.9
1800,9.49,95.9
1860,9.48,95.9
1920,9.47,95.9
1980,9.45,95.9
2040,9.44,95.9
2100,9.43,95.9
2160,9.41,95.9
2220,9.40,95.9
2280,9.39,96.0
2340,9.37,96.0
2400,9.36,96.0
2460,9.35,96.0
2520,9.33,96.0
2580,9.32,96.0
2640,9.31,96.0
2700,9.29,96.0
2760,9.28,96.0
2820,9.27,96.0
2880,9.25,96.0
2940,9.24,96.0
3000,9.23,96.0
3060,9.21,96.0
3120,9.20,96.0
3180,9.19,96.0
3240,9.17,96.0
3300,9.16,96.1
3360,9.15,96.1
3420,9.13,96.1
3480,9.12,96.1
3540,9.11,96.1
3600,9.09,96.1
3660,9.07,96.1
3720,9.05,96.1
3780,9.03,96.1
3840,9.01,96.1
3900,8.99,96.1
3960,8.97,96.0
4020,8.95,96.0
4080,8.93,96.0
4140,8.91,96.0
4200,8.89,96.0
4260,8.87,96.0
4320,8.85,96.0
4380,8.83,96.0
4440,8.81,96.0
4500,8.79,96.0
4560,8.77,96.0
4620,8.75,96.0
4680,8.73,96.0
4740,8.71,96.0
4800,8.69,96.0
4860,8.67,96.0
4920,8.65,96.0
4980,8.63,95.9
5040,8.61,95.9
5100,8.59,95.9
5160,8.57,95.9
5220,8.55,95.9
5280,8.53,95.9
5340,8.51,95.9
5400,8.50,95.9
5460,8.49,95.9
5520,8.49,95.9
5580,8.49,95.9
5640,8.48,95.9
5700,8.48,96.0
5760,8.48,96.0
5820,8.47,96.0
5880,8.47,96.0
5940,8.47,96.0
6000,8.46,96.0
6060,8.46,96.0
6120,8.46,96.0
6180,8.45,96.0
6240,8.45,96.0
6300,8.45,96.0
6360,8.44,96.0
6420,8.44,96.0
6480,8.44,96.0
6540,8.43,96.1
6600,8.43,96.1
6660,8.43,96.1
6720,8.42,96.1
6780,8.42,96.1
6840,8.42,96.1
6900,8.41,96.1
6960,8.41,96.1
7020,8.41,96.1
7080,8.40,96.1
7140,8.40,96.1
7200,8.40,96.1
7260,8.41,96.2
7320,8.42,96.2
7380,8.42,96.2
7440,8.43,96.2
7500,8.44,96.2
7560,8.44,96.2
7620,8.45,96.2
7680,8.46,96.3
7740,8.46,96.3
7800,8.47,96.3
7860,8.48,96.3
7920,8.48,96.3
7980,8.49,96.3
8040,8.50,96.4
8100,8.50,96.4
8160,8.51,96.4
8220,8.52,96.4
8280,8.52,96.4
8340,8.53,96.4
8400,8.54,96.4
8460,8.54,96.5
8520,8.55,96.5
8580,8.56,96.5
8640,8.56,96.5
8700,8.57,96.5
8760,8.58,96.5
8820,8.58,96.6
8880,8.59,96.6
8940,8.60,96.6
9000,8.60,96.6
9060,8.60,96.6
9120,8.60,96.6
9180,8.60,96.6
9240,8.60,96.6
9300,8.60,96.6
9360,8.60,96.6
9420,8.60,96.6
9480,8.60,96.6
9540,8.60,96.6
9600,8.60,96.6
9660,8.60,96.6
9720,8.60,96.6
9780,8.60,96.6
9840,8.60,96.6
9900,8.60,96.6
9960,8.60,96.6
10020,8.60,96.6
10080,8.60,96.7
10140,8.60,96.7
10200,8.60,96.7
10260,8.60,96.7
10320,8.60,96.7
10380,8.60,96.7
10440,8.60,96.7
10500,8.60,96.7
10560,8.60,96.7
10620,8.60,96.7
10680,8.60,96.7
10740,8.60,96.7
10800,8.61,96.7
10860,8.62,96.7
10920,8.62,96.7
10980,8.63,96.7
11040,8.64,96.7
11100,8.65,96.7
11160,8.66,96.7
11220,8.68,96.7
11280,8.69,96.8
11340,8.70,96.8
11400,8.71,96.8
11460,8.71,96.8
11520,8.72,96.8
11580,8.73,96.8
