t_s,T_in_C,RH_in_pct
0,11.29,100.0
60,11.29,100.0
120,11.28,100.0
180,11.27,100.0
240,11.27,100.0
300,11.26,100.0
360,11.25,100.0
420,11.25,100.0
480,11.24,100.0
540,11.23,100.0
600,11.23,100.0
660,11.22,100.0
720,11.21,100.0
780,11.21,94.4
840,11.20,94.4
900,11.19,94.4
960,11.19,94.4
1020,11.18,94.4
1080,11.17,94.5
1140,11.17,94.5
1200,11.16,94.5
1260,11.15,94.5
1320,11.15,94.5
1380,11.14,94.6
1440,11.13,94.6
1500,11.13,94.6
1560,11.12,94.6
1620,11.11,94.7
1680,11.11,94.7
1740,11.10,94.7
1800,11.09,94.7
1860,11.08,94.7
1920,11.07,94.7
1980,11.06,94.7
2040,11.05,94.8
2100,11.04,94.8
2160,11.03,94.8
2220,11.02,94.8
2280,11.01,94.8
2340,11.00,94.8
2400,10.99,94.8
2460,10.98,94.8
2520,10.97,94.8
2580,10.96,94.9
2640,10.95,94.9
2700,10.94,94.9
2760,10.93,94.9
2820,10.92,94.9
2880,10.91,94.9
2940,10.90,94.9
3000,10.89,94.9
3060,10.88,95.0
3120,10.87,95.0
3180,10.86,95.0
3240,10.85,95.0
3300,10.84,95.0
3360,10.83,95.0
3420,10.82,95.0
3480,10.81,95.0
3540,10.80,95.0
3600,10.78,95.1
3660,10.76,95.1
3720,10.74,95.1
3780,10.72,95.1
3840,10.70,95.1
3900,10.68,95.2
3960,10.66,95.2
4020,10.64,95.2
4080,10.62,95.2
4140,10.60,95.2
4200,10.58,95.2
4260,10.56,95.3
4320,10.54,95.3
4380,10.52,95.3
4440,10.50,95.3
4500,10.48,95.3
4560,10.46,95.3
4620,10.44,95.4
4680,10.42,95.4
4740,10.40,95.4
4800,10.38,95.4
4860,10.36,95.4
4920,10.34,95.4
4980,10.32,95.5
5040,10.30,95.5
5100,10.28,95.5
5160,10.26,95.5
5220,10.24,95.5
5280,10.22,95.5
5340,10.20,95.6
5400,10.20,95.6
5460,10.21,95.6
5520,10.21,95.6
5580,10.21,95.6
5640,10.22,95.6
5700,10.22,95.6
5760,10.22,95.6
5820,10.23,95.6
5880,10.23,95.6
5940,10.23,95.6
6000,10.24,95.6
6060,10.24,95.6
6120,10.24,95.6
6180,10.25,95.6
6240,10.25,95.7
6300,10.25,95.7
6360,10.26,95.7
6420,10.26,95.7
6480,10.26,95.7
6540,10.27,95.7
6600,10.27,95.7
6660,10.27,95.7
6720,10.28,95.7
6780,10.28,95.7
6840,10.28,95.7
6900,10.29,95.7
6960,10.29,95.7
7020,10.29,95.7
7080,10.30,95.7
7140,10.30,95.7
7200,10.28,95.8
7260,10.26,95.8
7320,10.25,95.8
7380,10.23,95.8
7440,10.21,95.8
7500,10.20,95.8
7560,10.18,95.8
7620,10.16,95.8
7680,10.15,95.9
7740,10.13,95.9
7800,10.11,95.9
7860,10.10,95.9
7920,10.08,95.9
7980,10.06,95.9
8040,10.05,95.9
8100,10.03,96.0
8160,10.01,96.0
8220,10.00,96.0
8280,9.98,96.0
8340,9.96,96.0
8400,9.95,96.0
8460,9.93,96.0
8520,9.91,96.0
8580,9.90,96.1
8640,9.88,96.1
8700,9.86,96.1
8760,9.85,96.1
8820,9.83,96.1
8880,9.81,96.1
8940,9.80,96.1
9000,9.80,96.1
9060,9.80,96.2
9120,9.80,96.2
9180,9.80,96.2
9240,9.80,96.2
9300,9.80,96.2
9360,9.80,96.2
9420,9.80,96.2
9480,9.80,96.2
9540,9.80,96.2
9600,9.80,96.2
9660,9.80,96.2
9720,9.80,96.2
9780,9.80,96.2
9840,9.80,96.2
9900,9.80,96.2
9960,9.80,96.3
10020,9.80,96.3
10080,9.80,96.3
10140,9.80,96.3
10200,9.80,96.3
10260,9.80,96.3
10320,9.80,96.3
10380,9.80,96.3
10440,9.80,96.3
10500,9.80,96.3
10560,9.80,96.3
10620,9.80,96.3
10680,9.80,96.3
10740,9.80,96.3
10800,9.84,96.3
10860,9.87,96.4
10920,9.90,96.4
10980,9.93,96.4
11040,9.96,96.4
11100,9.99,96.4
11160,10.03,96.4
11220,10.06,96.4
11280,10.09,96.4
11340,10.12,96.4
11400,10.15,96.4
11460,10.18,96.4
11520,10.22,96.4
11580,10.25,96.4
11640,10.28,96.4
11700,10.31,96.5
11760,10.34,96.5
11820,10.37,96.5
11880,10.41,96.5
11940,10.44,96.5
12000,10.47,96.5
12060,10.50,96.5
12120,10.53,96.5
12180,10.56,96.5
12240,10.60,96.5
12300,10.63,96.5
12360,10.66,96.5
12420,10.69,96.5
12480,10.72,96.5
12540,10.75,96.6
12600,10.79,96.6
12660,10.82,96.6
12720,10.85,96.6
12780,10.88,96.6
12840,10.91,96.6
12900,10.94,96.6
12960,10.98,96.6
13020,11.01,96.6
13080,11.04,96.6
13140,11.07,96.6
13200,11.10,96.6
13260,11.13,96.6
13320,11.17,96.7
13380,11.20,96.7
13440,11.23,96.7
13500,11.26,96.7
13560,11.29,96.7
13620,11.32,96.7
13680,11.36,96.7
13740,11.39,96.7
13800,11.42,96.7
13860,11.45,96.7
13920,11.48,96.7
13980,11.51,96.7
14040,11.55,96.7
14100,11.58,96.8
14160,11.61,96.8
14220,11.64,96.8
14280,11.67,96.8
14340,11.71,96.8
14400,11.78,96.8
14460,11.86,96.8
14520,11.93,96.8
14580,12.00,96.7
14640,12.08,96.7
14700,12.15,96.7
14760,12.22,96.7
14820,12.30,96.7
14880,12.37,96.7
14940,12.44,96.7
15000,12.52,96.7
15060,12.59,96.7
15120,12.66,96.7
15180,12.74,96.7
15240,12.81,96.7
15300,12.88,96.6
15360,12.96,96.6
15420,13.03,96.6
15480,13.10,96.6
15540,13.18,96.6
15600,13.25,96.6
15660,13.32,96.6
15720,13.40,96.6
15780,13.47,96.6
15840,13.54,96.6
15900,13.62,96.6
15960,13.69,96.6
16020,13.76,96.5
16080,13.84,96.5
16140,13.93,96.4
16200,14.14,95.8
16260,14.35,95.2
16320,14.56,94.5
16380,14.77,93.9
16440,14.98,93.2
16500,15.19,92.6
16560,15.40,91.9
16620,15.61,91.3
16680,15.82,90.7
16740,16.03,90.0
16800,16.24,89.4
16860,16.45,88.7
16920,16.66,88.1
16980,16.87,91.9
17040,17.08,91.2
17100,17.29,90.5
17160,17.50,89.8
17220,17.71,89.1
17280,17.92,88.5
17340,18.13,87.8
17400,18.34,87.1
17460,18.55,86.4
17520,18.76,85.7
17580,18.97,85.0
17640,19.18,84.3
17700,19.39,88.7
17760,19.60,87.9
17820,19.81,87.2
17880,20.02,86.4
17940,20.21,85.8
18000,20.26,85.5
18060,20.31,85.3
18120,20.37,85.0
18180,20.42,84.8
18240,20.47,84.5
18300,20.53,84.3
18360,20.58,84.0
18420,20.63,83.8
18480,20.69,83.5
18540,20.74,83.3
18600,20.79,83.0
18660,20.85,82.8
18720,20.90,82.6
18780,20.95,82.3
18840,21.01,82.1
18900,21.06,81.8
18960,21.11,81.6
19020,21.17,81.3
19080,21.22,81.1
19140,21.27,80.8
19200,21.33,80.6
19260,21.38,80.4
19320,21.43,80.1
19380,21.49,79.9
19440,21.54,79.6
19500,21.59,79.4
19560,21.65,79.1
19620,21.70,78.9
19680,21.75,78.6
19740,21.80,78.4
19800,21.83,78.4
19860,21.85,78.4
19920,21.87,78.3
19980,21.90,78.3
20040,21.92,78.2
20100,21.94,78.2
20160,21.97,78.2
20220,21.99,78.1
20280,22.01,78.1
20340,22.04,73.8
20400,22.06,73.7
20460,22.08,73.7
20520,22.11,73.7
20580,22.13,73.6
20640,22.15,73.6
20700,22.18,73.6
20760,22.20,73.5
20820,22.22,73.5
20880,22.25,73.5
20940,22.27,73.4
21000,22.29,73.4
21060,22.32,73.4
21120,22.34,73.3
21180,22.36,73.3
21240,22.39,73.3
21300,22.41,73.2
21360,22.43,73.2
21420,22.46,73.2
21480,22.48,73.1
21540,22.50,73.1
21600,22.53,73.1
21660,22.55,77.2
21720,22.57,77.1
21780,22.60,77.1
21840,22.62,77.0
21900,22.64,77.0
21960,22.67,77.0
22020,22.69,76.9
22080,22.72,76.9
22140,22.74,76.8
22200,22.76,76.8
22260,22.79,76.8
22320,22.81,72.7
22380,22.83,72.6
22440,22.86,72.6
22500,22.88,72.6
22560,22.91,72.5
22620,22.93,72.5
22680,22.95,72.4
22740,22.98,72.4
22800,23.00,72.4
22860,23.03,72.3
22920,23.05,72.3
22980,23.08,76.2
23040,23.11,76.2
23100,23.14,76.1
23160,23.16,76.1
23220,23.19,76.0
23280,23.21,76.0
23340,23.23,75.9
23400,23.24,76.1
23460,23.24,76.2
23520,23.24,76.3
23580,23.24,76.4
23640,23.22,72.6
23700,23.23,72.7
23760,23.23,72.9
23820,23.23,73.0
23880,23.23,73.1
23940,23.23,73.2
24000,23.23,73.3
24060,23.24,73.4
24120,23.24,73.5
24180,23.24,73.6
24240,23.24,73.7
24300,23.28,77.6
24360,23.29,77.7
24420,23.29,77.8
24480,23.29,77.9
24540,23.30,78.0
24600,23.30,78.1
24660,23.31,78.2
24720,23.31,78.3
24780,23.31,78.4
24840,23.32,78.5
24900,23.32,78.6
24960,23.27,75.1
25020,23.27,75.2
25080,23.27,75.3
25140,23.29,75.3
25200,23.43,74.7
25260,23.58,74.2
25320,23.72,73.6
25380,23.86,73.1
25440,24.00,72.5
25500,24.15,71.9
25560,24.29,71.4
25620,24.52,74.1
25680,24.66,73.5
25740,24.81,72.9
25800,24.95,72.3
25860,25.10,71.7
25920,25.25,71.1
25980,25.39,70.5
26040,25.54,69.9
26100,25.68,69.3
26160,25.83,68.7
26220,25.97,68.1
26280,26.12,67.5
26340,26.27,67.0
26400,26.41,66.4
26460,26.56,65.8
26520,26.71,65.2
26580,26.85,64.6
26640,27.00,64.0
26700,27.14,63.4
26760,27.29,62.8
26820,27.44,62.3
26880,27.58,61.7
26940,27.72,61.1
27000,27.74,61.0
27060,27.77,60.9
27120,27.80,60.8
27180,27.82,60.7
27240,27.85,60.6
27300,27.88,60.5
27360,27.90,60.3
27420,27.93,60.2
27480,27.96,60.1
27540,27.99,60.0
27600,28.01,59.9
27660,27.85,57.5
27720,27.87,57.4
27780,27.90,57.3
27840,27.92,57.2
27900,27.94,57.1
27960,27.97,57.0
28020,27.99,56.9
28080,28.02,56.8
28140,28.04,56.7
28200,28.06,56.6
28260,28.09,56.5
28320,28.11,56.4
28380,28.14,56.3
28440,28.16,56.2
28500,28.18,56.1
28560,28.21,56.0
28620,28.23,55.9
28680,28.26,55.8
28740,28.28,55.7
28800,28.33,55.4
28860,28.37,55.2
28920,28.42,55.0
28980,28.46,54.7
29040,28.51,54.5
29100,28.55,54.3
29160,28.60,54.0
