datetime,elapsed_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,t_avg_C,rh_avg_pct,M1_state,M2_state,M3_state,step_t,step_rh,step_resolved,is_daytime,wind_override
2026-04-29 00:04:58,0,7.70,100.0,7.70,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:05:58,60,7.70,100.0,7.69,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:06:58,120,7.70,100.0,7.69,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:07:58,180,7.70,100.0,7.68,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:08:58,240,7.70,100.0,7.68,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:09:58,300,7.70,100.0,7.67,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:10:58,360,7.70,100.0,7.66,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:11:58,420,7.70,100.0,7.66,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:12:58,480,7.70,100.0,7.65,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:13:58,540,7.70,100.0,7.64,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:14:58,600,7.70,100.0,7.64,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:15:58,660,7.70,100.0,7.63,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:16:58,720,7.70,100.0,7.63,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:17:58,780,7.70,100.0,7.62,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:18:58,840,7.70,100.0,7.61,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:19:58,900,7.69,100.0,7.61,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:20:58,960,7.69,100.0,7.60,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:21:58,1020,7.69,100.0,7.59,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:22:58,1080,7.69,100.0,7.59,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:23:58,1140,7.69,100.0,7.58,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:24:58,1200,7.69,100.0,7.58,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:25:58,1260,7.69,100.0,7.57,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:26:58,1320,7.69,100.0,7.56,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:27:58,1380,7.69,100.0,7.56,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:28:58,1440,7.69,100.0,7.55,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:29:58,1500,7.68,100.0,7.54,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:30:58,1560,7.68,100.0,7.54,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:31:58,1620,7.68,100.0,7.53,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:32:58,1680,7.68,100.0,7.53,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:33:58,1740,7.68,100.0,7.52,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:34:58,1800,7.68,100.0,7.51,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:35:58,1860,7.68,100.0,7.51,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:36:58,1920,7.68,100.0,7.50,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:37:58,1980,7.67,100.0,7.50,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:38:58,2040,7.67,100.0,7.49,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:39:58,2100,7.67,100.0,7.48,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:40:58,2160,7.67,100.0,7.48,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:41:58,2220,7.67,100.0,7.47,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:42:58,2280,7.67,100.0,7.46,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:43:58,2340,7.66,100.0,7.46,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:44:58,2400,7.66,100.0,7.45,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:45:58,2460,7.66,100.0,7.45,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:46:58,2520,7.66,100.0,7.44,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:47:58,2580,7.66,100.0,7.43,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:48:58,2640,7.66,100.0,7.43,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:49:58,2700,7.65,100.0,7.42,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:50:58,2760,7.65,100.0,7.41,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:51:58,2820,7.65,100.0,7.40,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:52:58,2880,7.65,100.0,7.40,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:53:58,2940,7.65,100.0,7.39,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:54:58,3000,7.64,100.0,7.38,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:55:58,3060,7.64,100.0,7.37,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:56:58,3120,7.64,100.0,7.36,53.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:57:58,3180,7.64,100.0,7.36,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:58:58,3240,7.63,100.0,7.35,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 00:59:58,3300,7.63,100.0,7.34,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:00:58,3360,7.63,100.0,7.33,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:01:58,3420,7.63,100.0,7.32,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:02:58,3480,7.62,100.0,7.32,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:03:58,3540,7.62,100.0,7.31,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:04:58,3600,7.62,100.0,7.30,53.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:05:58,3660,7.62,100.0,7.27,54.0,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:06:58,3720,7.61,100.0,7.23,54.1,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:07:58,3780,7.61,100.0,7.20,54.2,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:08:58,3840,7.61,100.0,7.17,54.3,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:09:58,3900,7.60,100.0,7.13,54.4,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:10:58,3960,7.60,100.0,7.10,54.5,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:11:58,4020,7.59,100.0,7.07,54.6,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:12:58,4080,7.59,100.0,7.04,54.7,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:13:58,4140,7.58,100.0,7.00,54.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:14:58,4200,7.58,100.0,6.97,55.0,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:15:58,4260,7.57,100.0,6.94,55.1,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:16:58,4320,7.57,100.0,6.90,55.2,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:17:58,4380,7.56,100.0,6.87,55.3,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:18:58,4440,7.56,100.0,6.84,55.4,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:19:58,4500,7.55,100.0,6.80,55.5,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:20:58,4560,7.54,100.0,6.79,55.5,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:21:58,4620,7.54,100.0,6.78,55.6,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:22:58,4680,7.53,100.0,6.77,55.7,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:23:58,4740,7.53,100.0,6.76,55.7,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:24:58,4800,7.52,100.0,6.75,55.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:25:58,4860,7.51,100.0,6.74,55.8,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:26:58,4920,7.51,100.0,6.73,55.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:27:58,4980,7.50,100.0,6.72,55.9,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:28:58,5040,7.49,100.0,6.71,56.0,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:29:58,5100,7.49,100.0,6.69,56.0,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:30:58,5160,7.48,100.0,6.68,56.1,8,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:31:58,5220,7.47,100.0,6.67,56.1,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:32:58,5280,7.47,100.0,6.66,56.2,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:33:58,5340,7.46,100.0,6.65,56.2,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:34:58,5400,7.45,100.0,6.64,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:35:58,5460,7.45,100.0,6.62,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:36:58,5520,7.44,100.0,6.61,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:37:58,5580,7.43,100.0,6.59,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:38:58,5640,7.43,100.0,6.57,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:39:58,5700,7.42,100.0,6.55,56.3,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:40:58,5760,7.41,100.0,6.54,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:41:58,5820,7.40,100.0,6.52,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:42:58,5880,7.40,100.0,6.50,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:43:58,5940,7.39,100.0,6.48,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:44:58,6000,7.38,100.0,6.46,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-29 01:45:58,6060,7.37,100.0,6.45,56.4,7,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
