datetime,elapsed_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,t_avg_C,rh_avg_pct,M1_state,M2_state,M3_state,step_t,step_rh,step_resolved,is_daytime,wind_override
2026-04-02 00:05:32,0,0.98,100.0,0.98,95.1,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:06:32,60,0.98,100.0,0.96,95.1,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:07:32,120,0.98,100.0,0.93,95.1,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:08:32,180,0.98,100.0,0.91,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:09:32,240,0.98,100.0,0.89,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:10:32,300,0.98,100.0,0.86,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:11:32,360,0.98,100.0,0.84,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:12:32,420,0.98,100.0,0.82,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:13:32,480,0.97,100.0,0.79,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:14:32,540,0.97,100.0,0.77,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:15:32,600,0.97,100.0,0.74,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:16:32,660,0.97,100.0,0.72,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:17:32,720,0.97,100.0,0.70,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:18:32,780,0.96,100.0,0.67,94.8,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:19:32,840,0.96,100.0,0.65,94.8,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:20:32,900,0.96,100.0,0.63,94.8,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:21:32,960,0.96,100.0,0.64,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:22:32,1020,0.95,100.0,0.64,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:23:32,1080,0.95,100.0,0.65,94.9,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
2026-04-02 00:24:32,1140,0.95,100.0,0.66,95.0,1,100,CLOSED,CLOSED,CLOSED,0,3,0,0,0
